GDP_ID,YEAR_FIELD,GDP
GDP1960,1/1/1960,508334414
GDP1961,1/1/1961,531959562
GDP1962,1/1/1962,574091101
GDP1963,1/1/1963,496947904
GDP1964,1/1/1964,496098775
GDP1965,1/1/1965,735267082
GDP1966,1/1/1966,906811944
GDP1967,1/1/1967,841974025
GDP1968,1/1/1968,772228643
GDP1969,1/1/1969,788641965
GDP1970,1/1/1970,865975309
GDP1971,1/1/1971,882765472
GDP1972,1/1/1972,1024098805
GDP1973,1/1/1973,972101725
GDP1974,1/1/1974,1217953547
GDP1975,1/1/1975,1575789254
GDP1976,1/1/1976,1452792989
GDP1977,1/1/1977,1382400000
GDP1978,1/1/1978,1604162497
GDP1979,1/1/1979,1851250008
GDP1980,1/1/1980,1945916583
GDP1981,1/1/1981,2275583317
GDP1982,1/1/1982,2395429852
GDP1983,1/1/1983,2447174803
GDP1984,1/1/1984,2581207388
GDP1985,1/1/1985,2619913956
GDP1986,1/1/1986,2850784523
GDP1987,1/1/1987,2957255380
GDP1988,1/1/1988,3487009748
GDP1989,1/1/1989,3525228153
GDP1990,1/1/1990,3627562403
GDP1991,1/1/1991,3921476085
GDP1992,1/1/1992,3401211581
GDP1993,1/1/1993,3660041667
GDP1994,1/1/1994,4066775510
GDP1995,1/1/1995,4401104418
GDP1996,1/1/1996,4521580381
GDP1997,1/1/1997,4918691917
GDP1998,1/1/1998,4856255044
GDP1999,1/1/1999,5033642384
GDP2000,1/1/2000,5494252208
GDP2001,1/1/2001,6007055042
GDP2002,1/1/2002,6050875807
GDP2003,1/1/2003,6330473097
GDP2004,1/1/2004,7273938315
GDP2005,1/1/2005,8130258041
GDP2006,1/1/2006,9043715356
GDP2007,1/1/2007,10300000000
GDP2008,1/1/2008,12500000000
GDP2009,1/1/2009,12900000000
GDP2010,1/1/2010,16000000000
GDP2011,1/1/2011,21600000000
GDP2012,1/1/2012,21700000000
GDP2013,1/1/2013,22200000000
GDP2014,1/1/2014,22700000000
GDP2015,1/1/2015,24400000000
GDP2016,1/1/2016,24500000000
GDP2017,1/1/2017,29000000000
GDP2018,1/1/2018,33100000000
GDP2019,1/1/2019,34200000000
GDP2020,1/1/2020,33400000000
GDP2021,1/1/2021,36300000000
